1,4,3,100
2,1,3,100
3,2,3,100
3,6,3,300
3,7,3,100
4,9,3,100
5,10,3,50
6,5,3,100 (150)
6,14,3,200
7,19,3,100
9,8,3,50
9,12,3,50
10,13,3,50
14,18,3,150 (200)
18,17,3,50
18,21,3,50
19,24,3,50
24,23,3,50
6,5,11,50 (150)
11,8,11,50
11,12,11,300
11,22,11,150
12,13,11,250
13,14,11,150
13,17,11,50
14,6,11,50
14,18,11,50 (200)
20,21,11,50
22,20,11,50
22,23,11,100
23,24,11,50
24,19,11,50
