Problem,N,M,Size,NonZeros,PAS_Iterations,PAS_Cost,PAS_Time,Tulip_Iterations,Tulip_Cost,Tulip_Time,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time
lp_scfxm2.mat,1200,660,792000,5469,42,-198.58430977317187,15.6910127,22,36660.26156647722,0.0276695,808,36660.26156499881,0.016674041748046875
lp_finnis.mat,1064,497,528808,2760,0,Inf,Inf,25,172791.06821869806,0.0276685,397,172791.06559561155,0.007477998733520508
lp_standmps.mat,1274,467,594958,3878,62,1409.3531458934597,21.9321175,15,1406.0175001005036,0.015963,221,1406.0175,0.0058019161224365234
lp_ship04l.mat,2166,402,870732,6380,21,1.793325139441872e6,4.032582,14,1.7933245342318797e6,0.0221732,382,1.793324537970356e6,0.006917238235473633
lp_bnl1.mat,1586,643,1019798,5532,285,1893.9051871992988,132.905571,29,1977.629609842093,0.0467957,842,1977.6295615228878,0.024186134338378906
lp_scsd8.mat,2750,397,1091750,8584,17,905.0088499670698,7.7260704,11,904.9999998278263,0.0287877,1054,904.9999999254644,0.03808927536010742
lp_modszk1.mat,1620,687,1112940,3168,0,Inf,Inf,22,109301.46103251932,0.028536,0,Inf,Inf
lp_grow15.mat,645,300,193500,5620,38,-1.0163307537462907e8,27.7404129,15,-1.068709412309452e8,0.0716958,1198,-1.0687094129357538e8,0.03538203239440918
lp_pilot4.mat,1123,410,460430,5264,0,Inf,Inf,0,0.0,0.0010018,0,Inf,Inf
lp_gfrd_pnc.mat,1160,616,714560,2445,0,Inf,Inf,15,6.9022359918900905e6,0.0178335,297,6.902235999548809e6,0.006760120391845703
lp_qap8.mat,1632,912,1488384,7296,1,17248.0,0.3206181,9,203.49999971127357,0.4985866,7152,203.50000000000102,0.5259411334991455
lp_25fv47.mat,1876,821,1540196,10705,0,Inf,Inf,23,5501.845965937146,0.0904147,2944,5501.8458882867435,0.14979100227355957
lp_scfxm3.mat,1800,990,1782000,8206,0,Inf,Inf,21,54901.25460301414,0.3093339,1253,54901.254549751466,0.029062986373901367
lp_maros.mat,1966,846,1663236,10137,0,Inf,Inf,100,-58028.88279810887,0.1453287,1374,-58063.74370112589,0.04250812530517578
lp_ship08s.mat,2467,778,1919326,7194,0,Inf,Inf,18,1.92009821037546e6,0.0269651,371,1.9200982105346199e6,0.008157014846801758
lp_perold.mat,1506,625,941250,6148,0,Inf,Inf,0,0.0,0.0013736,0,Inf,Inf
lp_fit1p.mat,1677,627,1051479,9868,0,Inf,Inf,13,9146.378121139254,0.0273949,860,9146.378092420926,0.037925004959106445
lp_fit1d.mat,1049,24,25176,13427,0,Inf,Inf,25,-9146.378087136234,0.0499835,69,-9146.378092420926,0.011117935180664062
lp_grow22.mat,946,440,416240,8252,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
