Problem,N,M,Size,NonZeros,PAS_Iterations,PAS_Cost,PAS_Time,Tulip_Iterations,Tulip_Cost,Tulip_Time,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time
lp_afiro.mat,51,27,1377,102,16,-464.75288736377604,0.0016068,8,-464.7531424264177,0.0007881,6,-464.7531428571429,0.0005068778991699219
lp_sc50a.mat,78,50,3900,160,34,-64.575052498182,0.008208,10,-64.57507691306816,0.0009226,27,-64.5750770585645,0.0007462501525878906
lp_sc50b.mat,78,50,3900,148,34,-69.9999727794571,0.0079871,10,-69.99999878553842,0.0008529,14,-69.99999999999999,0.0006489753723144531
lp_kb2.mat,68,43,2924,313,36,-1449.1602632047995,0.0122735,14,-1749.9001021580057,0.0132133,68,-1749.9001299062058,0.0010530948638916016
lp_adlittle.mat,138,56,7728,424,22,225514.11397435312,0.0097816,12,225494.96315590077,0.0015194,93,225494.96316238024,0.0014128684997558594
lp_blend.mat,114,74,8436,522,28,-30.812121738797345,0.0197563,9,-30.81214858745238,0.0226721,93,-30.812149845828216,0.001409769058227539
lp_share2b.mat,162,96,15552,777,38,-397.82798236431626,0.0650443,11,-415.73223602319155,0.0019105,143,-415.73224074141916,0.002079010009765625
lp_sc105.mat,163,105,17115,340,69,-52.18643998263912,0.1021464,12,-52.20206076077895,0.0016022,54,-52.20206121170723,0.001191854476928711
lp_stocfor1.mat,165,117,19305,501,51,-41131.67769543061,0.1232113,15,-41131.9762172506,0.0020043,59,-41131.97621943641,0.0013489723205566406
lp_scagr7.mat,185,129,23865,465,35,-2.273844978501131e6,0.0874639,12,-2.331389824260218e6,0.0020017,98,-2.3313898243309837e6,0.0016398429870605469
lp_share1b.mat,253,117,29601,1179,138,-33717.17312001031,0.4406889,25,-76589.31857636516,0.0048897,181,-76589.31857918568,0.0026891231536865234
lp_beaconfd.mat,295,173,51035,3408,17,33592.478555048976,0.1290547,9,33592.48580123391,0.1637083,48,33592.4858072,0.0021822452545166016
lp_israel.mat,316,174,54984,2443,97,-189655.84841288853,0.748419,18,-896644.817042642,0.0067551,240,-896644.8218630455,0.004218101501464844
