lp_adlittle,43,43,43,24,-,-
lp_stocfor1,34,34,-,-,-,-
lp_israel,314,314,314,90,90,89
lp_etamacro,48,59,48,32,35,32
lp_grow22,941,934,936,231,239,238
lp_czprob,109,109,109,46,46,46
