lp_adlittle,2.97E-02,2.16E-02,5.22E-03,1.66E-02,-,-
lp_stocfor1,2.76E-02,2.11E-02,-,-,-,-
lp_israel,1.10E+00,8.95E-01,4.09E-01,3.04E-01,2.32E-01,1.20E-01
lp_etamacro,3.84E-01,3.74E-01,8.86E-02,2.50E-01,2.25E-01,6.00E-02
lp_grow22,1.30E+01,1.08E+01,3.11E+00,3.12E+00,2.77E+00,6.69E-01
lp_czprob,5.60E+00,3.94E+00,2.46E-01,2.40E+00,1.62E+00,9.83E-02
