0,1,4,19796.42
0,2,1,19796.42
0,3,2,19796.42
0,3,6,39136.57
0,3,7,41067.02
0,4,9,19796.42
0,5,10,10203.58
0,6,5,30203.58
0,6,14,18932.98
0,7,14,16456.90
0,7,19,24610.11
0,8,9,44.59
0,9,8,10000.00
0,9,10,44.59
0,9,12,9871.24
0,10,9,74.82
0,10,13,10173.35
0,11,8,10044.59
0,11,12,41895.81
0,11,22,48059.60
0,12,13,31895.81
0,13,12,128.76
0,13,14,20000.00
0,13,17,1940.40
0,14,6,10000.00
0,14,18,25389.89
0,16,17,11519.28
0,17,18,10000.00
0,18,17,10000.00
0,18,21,5389.89
0,19,24,14610.11
0,20,17,6540.31
0,20,21,10000.00
0,22,16,11519.28
0,22,20,16540.31
0,22,23,20000.00
0,23,24,10000.00
0,24,19,10000.00
0,24,21,4610.11
0,24,23,10000.00
