1,4,3,100
2,1,3,100
3,2,3,100
3,6,3,100
3,7,3,300
4,9,3,100
6,5,3,50 (100)
6,14,3,50
7,14,3,220
7,19,3,80 (130)
9,8,3,50
9,12,3,50
14,18,3,220 (270)
17,13,3,50
18,17,3,100
18,21,3,70
19,24,3,30
21,24,3,20
24,23,3,50
6,5,11,50 (100)
7,19,11,50 (130)
11,8,11,50
11,12,11,350
11,22,11,100
12,13,11,270
12,15,11,30
13,14,11,200
13,17,11,20
14,6,11,50
14,7,11,50
14,18,11,50 (270)
15,16,11,30
16,17,11,30
20,21,11,50
20,23,11,10
22,20,11,60
22,23,11,40
1,4,3,100
2,1,3,100
3,2,3,100
3,6,3,100
3,7,3,300
4,9,3,100
6,5,3,50 (100)
6,14,3,50
7,14,3,220
7,19,3,80 (130)
9,8,3,50
9,12,3,50
14,18,3,220 (270)
17,13,3,50
18,17,3,100
18,21,3,70
19,24,3,30
21,24,3,20
24,23,3,50
6,5,11,50 (100)
7,19,11,50 (130)
11,8,11,50
11,12,11,350
11,22,11,100
12,13,11,270
12,15,11,30
13,14,11,200
13,17,11,20
14,6,11,50
14,7,11,50
14,18,11,50 (270)
15,16,11,30
16,17,11,30
20,21,11,50
20,23,11,10
22,20,11,60
22,23,11,40
1,4,3,100
2,1,3,100
3,2,3,100
3,6,3,100
3,7,3,300
4,9,3,100
6,5,3,50 (100)
6,14,3,50
7,14,3,220
7,19,3,80 (130)
9,8,3,50
9,12,3,50
14,18,3,220 (270)
17,13,3,50
18,17,3,100
18,21,3,70
19,24,3,30
21,24,3,20
24,23,3,50
6,5,11,50 (100)
7,19,11,50 (130)
11,8,11,50
11,12,11,350
11,22,11,100
12,13,11,270
12,15,11,30
13,14,11,200
13,17,11,20
14,6,11,50
14,7,11,50
14,18,11,50 (270)
15,16,11,30
16,17,11,30
20,21,11,50
20,23,11,10
22,20,11,60
22,23,11,40
1,4,3,100
2,1,3,100
3,2,3,100
3,6,3,100
3,7,3,300
4,9,3,100
6,5,3,50 (100)
6,14,3,50
7,14,3,220
7,19,3,80 (130)
9,8,3,50
9,12,3,50
14,18,3,220 (270)
17,13,3,50
17,20,3,8
18,17,3,108
18,21,3,62
19,24,3,30
20,23,3,8 (18)
21,24,3,12
24,23,3,42
6,5,11,50 (100)
7,19,11,50 (130)
11,8,11,50
11,12,11,350
11,22,11,100
12,13,11,270
12,15,11,30
13,14,11,200
13,17,11,20
14,6,11,50
14,7,11,50
14,18,11,50 (270)
15,16,11,30
16,17,11,30
20,21,11,50
20,23,11,10 (18)
22,20,11,60
22,23,11,40
1,4,3,100
2,1,3,100
3,2,3,100
3,6,3,100
3,7,3,300
4,9,3,100
6,5,3,50 (100)
6,14,3,50
7,14,3,220
7,19,3,80 (130)
9,8,3,50
9,12,3,50
14,18,3,220 (270)
17,13,3,50
18,17,3,100
18,21,3,70
19,24,3,30
21,24,3,20
24,23,3,50
6,5,11,50 (100)
7,19,11,50 (130)
11,8,11,50
11,12,11,350
11,22,11,100
12,13,11,270
12,15,11,30
13,14,11,200
13,17,11,20
14,6,11,50
14,7,11,50
14,18,11,50 (270)
15,16,11,30
16,17,11,30
20,21,11,50
20,23,11,10
22,20,11,60
22,23,11,40
