From,To,Cost,Flow,CostE,FlowB0,CostB0,FlowB1,CostB1
13,14,96,50,4800,100,9600,50,4800
13,17,127,100,12700,50,6350,100,12700
14,18,127,0,0,50,6350,0,0
17,18,96,50,4800,0,0,50,4800
