Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_scagr25.mat,671,471,316041,1725,true,671,471,316041,1725,152,-1.15477600716695e7,16.5057479,true,stop_gap_reached,14,-1.4753433059369097e7,0.0099565,true,348,-1.4753433060768519e7,0.006060123443603516,true
lp_degen2.mat,757,444,336108,4201,true,757,444,336108,4201,29,-1435.1591995813512,6.1420776,true,stop_small_ρ,10,-1435.1779999845276,0.0203154,true,537,-1435.178,0.013440847396850586,true
lp_agg2.mat,758,516,391128,4740,true,758,516,391128,4740,106,-2.02380848323038e7,16.0961441,true,stop_gap_reached,17,-2.0239252352930922e7,0.0349895,true,534,-2.0239252355977103e7,0.011223077774047852,true
lp_agg3.mat,758,516,391128,4756,true,758,516,391128,4756,11,-1926.8890245710256,4.5247204,false,stop_small_ρ,16,1.0312115934713194e7,0.0271808,true,563,1.0312115935089225e7,0.011441946029663086,true
lp_stair.mat,614,356,218584,4003,false,790,532,420280,4355,12,-Inf,0.0391534,true,stop_gap_reached,10,-5.7185370397290925e-12,0.011861,false,0,Inf,Inf,false
lp_fffff800.mat,1028,524,538672,6401,true,1028,524,538672,6401,4,0.0218320628141304,0.6228301,false,stop_gap_reached,26,555679.5668053179,0.0308513,true,388,555679.5648174962,0.008073091506958008,true
lp_ship04s.mat,1506,402,605412,4400,true,1506,402,605412,4400,29,1.7987179103836657e6,6.7002712,true,stop_small_ρ,16,1.7987146999964213e6,0.0556942,true,278,1.7987147004453926e6,0.005217075347900391,true
lp_scrs8.mat,1275,490,624750,3288,true,1275,490,624750,3288,112,904.3036743717203,23.889354,true,stop_gap_reached,19,904.2969394564379,0.0314157,true,392,904.2969538007914,0.009392023086547852,true
lp_wood1p.mat,2595,244,633180,70216,true,2595,244,633180,70216,2,0.4,2.8463476,false,stop_small_ρ,13,1.4429024118119171,0.3388799,true,138,1.4429024115734148,0.047896623611450195,true
lp_standata.mat,1274,359,457366,3230,false,1405,490,688450,3492,65,1257.7032143675956,20.613024,true,stop_small_ρ,12,1257.699500052272,0.0103207,true,94,1257.6995,0.005063772201538086,true
lp_standgub.mat,1383,361,499263,3338,false,1514,492,744888,3600,51,1257.7583865910296,18.3806922,true,stop_small_ρ,12,1257.699500052272,0.0271497,true,92,1257.6995,0.005047798156738281,true
lp_etamacro.mat,816,400,326400,2537,false,1105,689,761345,3115,81,-755.7072427714832,41.2410005,true,stop_small_ρ,21,-755.7151658284874,0.0330215,true,464,-755.7152333005279,0.009759187698364258,true
lp_scfxm2.mat,1200,660,792000,5469,true,1200,660,792000,5469,158,37003.3721571106,60.7049423,true,stop_gap_reached,22,36660.26156647722,0.0320817,true,808,36660.26156499881,0.017084121704101562,true
lp_finnis.mat,1064,497,528808,2760,false,1231,664,817384,3094,270,183354.57641861943,123.1072246,false,stop_small_ρ,25,172791.06821869806,0.0305512,true,397,172791.06559561155,0.007609128952026367,true
lp_standmps.mat,1274,467,594958,3878,false,1405,598,840190,4140,66,1406.0257105318983,31.4257769,true,stop_small_ρ,15,1406.0175001005036,0.0194978,true,221,1406.0175,0.007188081741333008,true
lp_ship04l.mat,2166,402,870732,6380,true,2166,402,870732,6380,27,1.7933365680492693e6,9.4136825,true,stop_small_ρ,14,1.7933245342318797e6,0.0264684,true,382,1.793324537970356e6,0.007310152053833008,true
lp_bnl1.mat,1586,643,1019798,5532,true,1586,643,1019798,5532,207,2005.4662417698246,95.8772807,true,stop_gap_reached,29,1977.629609842093,0.0450002,true,842,1977.6295615228878,0.023251056671142578,true
lp_scsd8.mat,2750,397,1091750,8584,true,2750,397,1091750,8584,22,905.005720105793,12.716642,true,stop_small_ρ,11,904.9999998278263,0.0666206,true,1054,904.9999999254644,0.0352780818939209,true
lp_modszk1.mat,1620,687,1112940,3168,false,1622,689,1117558,3172,1,135548.47499999998,0.089935,false,stop_rank,22,109301.46103251932,0.0288213,true,0,Inf,Inf,false
lp_grow15.mat,645,300,193500,5620,false,1245,900,1120500,6820,48,-1.0159779718225259e8,35.3255199,true,stop_gap_reached,15,-1.068709412309452e8,0.0267398,false,1198,-1.0687094129357538e8,0.03616499900817871,false
lp_pilot4.mat,1123,410,460430,5264,false,1488,775,1153200,5994,1,-4.078036,0.1153111,false,stop_rank,0,0.0,0.001039,false,0,Inf,Inf,false
lp_gfrd_pnc.mat,1160,616,714560,2445,false,1420,876,1243920,2965,178,7.048795320295827e6,134.0296541,true,stop_gap_reached,15,6.9022359918900905e6,0.0198689,true,297,6.902235999548809e6,0.0074062347412109375,true
lp_qap8.mat,1632,912,1488384,7296,true,1632,912,1488384,7296,22,203.5000979102058,14.2712017,true,stop_gap_reached,9,203.49999971127357,0.261569,true,7152,203.50000000000102,0.5093488693237305,true
lp_25fv47.mat,1876,821,1540196,10705,true,1876,821,1540196,10705,269,5502.305708016539,249.6668571,true,stop_gap_reached,23,5501.845965937146,0.3487058,true,2944,5501.8458882867435,0.1493208408355713,true
