File,Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,NBIterations,NBTime,NBFeasible,NBSolved,NAIterations,NATime,NAFeasible,NASolved,NNIterations,NNTime,NNFeasible,NNSolved,MBIterations,MBTime,MBFeasible,MBSolved,MAIterations,MATime,MAFeasible,MASolved,MNIterations,MNTime,MNFeasible,MNSolved,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
problems\lp_share1b.mat,lp_share1b.mat,253,117,29601,1179,true,253,117,29601,1179,329,0.4474614,true,true,329,0.3393016,true,true,329,0.0699052,true,true,99,0.1308798,true,true,99,0.1020587,true,true,98,0.0255251,true,true,25,-76589.31858,0.0046872,true,181,-76589.31858,0.003263235,true
problems\lp_beaconfd.mat,lp_beaconfd.mat,295,173,51035,3408,true,295,173,51035,3408,35,0.1187404,true,true,35,0.0762717,true,true,35,0.0212431,true,true,18,0.0578403,true,true,18,0.0383972,true,true,18,0.0113907,true,true,9,33592.4858,0.1355529,true,48,33592.48581,0.002398968,true
problems\lp_israel.mat,lp_israel.mat,316,174,54984,2443,true,316,174,54984,2443,314,1.1019087,true,true,314,0.8945711,true,true,314,0.4085549,true,true,90,0.3042361,true,true,90,0.2315688,true,true,89,0.1198813,true,true,18,-896644.817,0.006751,true,240,-896644.8219,0.004204035,true
problems\lp_lotfi.mat,lp_lotfi.mat,366,153,55998,1136,true,366,153,55998,1136,82,0.2083597,true,true,82,0.1627701,true,true,82,0.0286297,true,true,30,0.0744689,true,true,30,0.0646651,true,true,0,Inf,false,false,26,-25.26470596,0.0075914,true,140,-25.26470606,0.002509832,true
problems\lp_scsd1.mat,lp_scsd1.mat,760,77,58520,2388,true,760,77,58520,2388,21,0.0849762,true,true,21,0.0303795,true,true,21,0.0062334,true,true,15,0.0619029,true,true,15,0.0223968,true,true,15,0.0050734,true,true,9,8.666666674,0.0041566,true,86,8.666666674,0.002265215,true
problems\lp_sc205.mat,lp_sc205.mat,317,205,64985,665,true,317,205,64985,665,31,0.0311799,true,true,34,0.0253862,true,true,31,0.0053314,true,true,20,0.0212613,true,true,20,0.0162055,true,true,20,0.0041208,true,true,13,-52.20204335,0.0049834,true,124,-52.20206121,0.00231719,true
problems\lp_recipe.mat,lp_recipe.mat,204,91,18564,687,false,320,207,66240,919,26,0.0238711,true,true,26,0.0180725,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,9,-266.616,0.0094854,false,19,-266.616,0.001281023,true
problems\lp_brandy.mat,lp_brandy.mat,303,220,66660,2202,true,303,220,66660,2202,40,0.4808568,true,true,37,0.0833725,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,14,1518.509897,0.0148052,true,187,1518.509896,0.003886223,true
problems\lp_bore3d.mat,lp_bore3d.mat,334,233,77822,1448,false,348,247,85956,1476,60,0.3936914,true,true,48,0.0769535,true,true,53,0.0381929,true,true,27,0.0573557,true,true,27,0.05326,true,true,30,0.0251029,true,true,16,1373.080427,0.0027246,false,33,1373.080394,0.001666069,false
problems\lp_e226.mat,lp_e226.mat,472,223,105256,2768,true,472,223,105256,2768,37,0.1340455,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,18,-18.75192821,0.011216,true,364,-18.75192907,0.007128239,true
problems\lp_bandm.mat,lp_bandm.mat,472,305,143960,2494,true,472,305,143960,2494,34,0.1027104,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,14,-158.6280167,0.0087536,true,381,-158.6280185,0.008229017,true
problems\lp_scorpion.mat,lp_scorpion.mat,466,388,180808,1534,true,466,388,180808,1534,33,0.0793201,true,true,35,0.060826,true,true,30,0.0250831,true,true,18,0.0457119,true,true,19,0.0412936,true,true,18,0.022037,true,true,13,1878.124793,0.0053386,true,89,1878.124823,0.003143072,true
problems\lp_vtp_base.mat,lp_vtp_base.mat,346,198,68508,1051,false,508,360,182880,1375,323,0.8382164,true,true,323,0.6494483,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,0,0.0006884,false,0,Inf,Inf,false
problems\lp_scfxm1.mat,lp_scfxm1.mat,600,330,198000,2732,true,600,330,198000,2732,70,0.2580168,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,20,18416.75903,0.0146381,true,415,18416.75903,0.008741856,true
problems\lp_sctap1.mat,lp_sctap1.mat,660,300,198000,1872,true,660,300,198000,1872,32,0.0901496,true,true,32,0.0671462,true,true,32,0.0149623,true,true,20,0.0622826,true,true,20,0.0428184,true,true,20,0.009724,true,true,16,1412.249971,0.0099853,true,369,1412.25,0.006057024,true
problems\lp_scsd6.mat,lp_scsd6.mat,1350,147,198450,4316,true,1350,147,198450,4316,23,0.1560217,true,true,23,0.075012,true,true,23,0.0107038,true,true,17,0.1145639,true,true,17,0.0525874,true,true,17,0.0087464,true,true,11,50.49999933,0.0133236,true,270,50.50000008,0.006856918,true
problems\lp_tuff.mat,lp_tuff.mat,628,333,209124,4561,false,662,367,242954,4629,60,0.403762,true,true,56,0.303436,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,100,0.311240511,0.0697441,false,0,Inf,Inf,false
