Init,-,-,-,36.75,147000
1,0.132,36.618,10.926,5.676,21000
2,72.82,67.144,24.0242,2.87833,84583.3
3,12.7417,9.86333,28.642,1.892,107000
4,3.509,1.617,30.2358,1.55158,114737
5,2.07263,0.521053,30.25,2.75,110000
6,2.75,3.55271e-15,-,-,-
