1,4,19891.54
2,1,19891.54
3,2,19891.54
3,6,40178.03
3,7,39930.43
4,9,19891.54
5,10,10108.46
6,5,30108.46
6,14,20069.57
7,14,19481.22
7,19,20449.21
8,9,1421.24
9,8,10000.00
9,10,1421.24
9,12,10000.00
10,9,108.46
10,13,11421.24
11,8,11421.24
11,12,49271.38
11,22,39307.38
12,13,34812.03
12,15,4459.35
13,14,20085.92
13,17,6147.35
14,6,10000.00
14,18,29636.71
15,16,4459.35
16,17,9326.29
17,18,9914.08
18,17,10000.00
18,21,9550.79
19,24,10449.21
20,17,4440.44
20,21,10000.00
22,16,4866.94
22,20,14440.44
22,23,20000.00
23,24,10000.00
24,19,10000.00
24,21,449.21
24,23,10000.00
