1,4,100
2,1,100
3,2,100
3,6,100
3,7,300
4,9,100
6,5,100
6,14,50
7,14,220
7,19,130
9,8,50
9,12,50
11,8,50
11,12,350
11,22,100
12,13,270
12,15,30
13,14,200
13,17,20
14,6,50
14,7,50
14,18,270
15,16,30
16,17,30
17,13,50
18,17,100
18,21,70
19,24,30
20,21,50
20,23,10
21,24,20
22,20,60
22,23,40
24,23,50
1,4,100
2,1,100
3,2,100
3,6,100
3,7,300
4,9,100
6,5,100
6,14,50
7,14,220
7,19,130
9,8,50
9,12,50
11,8,50
11,12,350
11,22,100
12,13,270
12,15,30
13,14,200
13,17,20
14,6,50
14,7,50
14,18,270
15,16,30
16,17,30
17,13,50
18,17,100
18,21,70
19,24,30
20,21,50
20,23,10
21,24,20
22,20,60
22,23,40
24,23,50
