1,4,3,100,false
2,1,3,100,false
3,2,3,100,false
3,6,3,100,true
3,7,3,300,false
4,9,3,100,false
6,5,3,50 (100),true
6,14,3,50,false
7,14,3,220,false
7,19,3,80 (130),false
9,8,3,50,false
9,12,3,50,false
14,18,3,220 (270),false
17,13,3,50,false
18,17,3,100,false
18,21,3,70,false
19,24,3,30,true
21,24,3,20,false
24,23,3,50,false
